,8_yakutsk_db,8_yakutsk_hr,7_ostersund_db,7_ostersund_hr,6a_oslo_db,6a_oslo_hr,5b_dunhuang_db,5b_dunhuang_hr,5c_birmingham_db,5c_birmingham_hr,4a_paris_db,4a_paris_hr,1a_miami_db,1a_miami_hr
0,-40.3,5.4e-05,-5.5,0.002125,-13.0,0.001082,8.0,0.004234,2.3,0.002737,1.4,0.003847,22.0,0.012838
1,-37.8,7.9e-05,-6.4,0.001993,-10.6,0.00136,7.2,0.004276,1.4,0.002598,2.9,0.004454,19.4,0.012629
2,-37.2,8.3e-05,-7.3,0.001862,-8.4,0.001673,6.6,0.004296,0.5,0.002529,4.3,0.005099,18.9,0.01265
3,-36.6,8.8e-05,-7.8,0.001783,-6.8,0.001946,6.0,0.004307,-0.2,0.002523,5.3,0.005596,18.9,0.01265
4,-36.0,9.4e-05,-8.0,0.001773,-6.0,0.002109,5.5,0.004279,-0.7,0.002514,5.9,0.005896,18.9,0.01265
5,-35.7,9.7e-05,-7.9,0.001789,-5.6,0.002206,5.1,0.004214,-0.9,0.002553,6.1,0.005985,19.4,0.012629
6,-35.5,0.0001,-7.8,0.001805,-5.4,0.002269,4.6,0.004125,-1.1,0.002524,6.3,0.006063,18.9,0.013053
7,-35.2,0.000106,-7.5,0.001868,-5.6,0.002302,5.5,0.004095,-0.4,0.003462,6.2,0.006021,18.9,0.012637
8,-36.3,9.3e-05,-7.7,0.001853,-5.3,0.002386,6.0,0.003993,0.0,0.003506,6.2,0.006021,19.4,0.013033
9,-37.3,8.2e-05,-7.9,0.001835,-4.9,0.00247,7.8,0.004312,0.7,0.003555,6.1,0.005979,22.8,0.014009
10,-34.4,0.000113,-8.1,0.001803,-4.6,0.002508,11.0,0.004318,1.2,0.003484,6.1,0.005979,25.0,0.014016
11,-34.0,0.000118,-8.4,0.001738,-4.2,0.002619,13.0,0.004336,1.7,0.003851,6.3,0.006069,26.7,0.013985
12,-33.7,0.000122,-8.8,0.001658,-3.9,0.002687,13.4,0.004354,2.5,0.00384,6.5,0.006154,26.1,0.013718
13,-33.3,0.000127,-9.1,0.001583,-3.5,0.002752,14.0,0.004635,2.0,0.003755,6.7,0.006241,27.2,0.013735
14,-33.2,0.000129,-9.1,0.001583,-3.5,0.002752,15.0,0.004612,1.5,0.003253,6.8,0.006284,26.1,0.014596
15,-33.1,0.00013,-9.1,0.001583,-3.4,0.002718,15.5,0.004062,2.0,0.002462,6.9,0.006334,26.1,0.014582
16,-33.0,0.000131,-9.1,0.001579,-3.4,0.002689,15.0,0.004046,1.6,0.002255,7.0,0.006372,25.6,0.015197
17,-33.5,0.000128,-8.7,0.001666,-3.3,0.002744,15.0,0.004046,0.8,0.002223,7.0,0.006308,25.0,0.014651
18,-34.0,0.000124,-8.2,0.001722,-3.2,0.002826,14.5,0.004022,0.3,0.002355,6.9,0.0062,23.9,0.015214
19,-34.5,0.00012,-7.8,0.001763,-3.1,0.002879,13.0,0.004038,-0.1,0.002258,6.9,0.006136,23.3,0.014646
20,-34.5,0.00012,-7.4,0.001858,-2.9,0.002901,12.0,0.004054,-0.2,0.002363,6.7,0.006115,22.8,0.014554
21,-34.4,0.00012,-6.9,0.001922,-2.7,0.00292,11.0,0.004061,-0.5,0.001878,6.5,0.00603,22.8,0.01454
22,-34.4,0.00012,-6.5,0.001967,-2.5,0.002941,11.0,0.004066,-0.7,0.002143,6.3,0.005947,23.3,0.014646
23,-34.8,0.000114,-6.4,0.00198,-2.1,0.003077,11.0,0.00407,-0.8,0.002265,6.3,0.005947,22.2,0.014534
24,-35.2,0.000107,-6.2,0.001996,-1.8,0.003162,10.0,0.004046,-0.9,0.001875,6.4,0.005982,20.6,0.013611
25,-35.6,0.0001,-6.1,0.002009,-1.4,0.003308,10.0,0.004367,-1.0,0.001779,6.4,0.005921,20.0,0.013552
26,-36.5,9.1e-05,-6.3,0.001896,-0.5,0.003536,9.0,0.004609,-0.8,0.002121,6.1,0.005798,19.4,0.013633
27,-37.5,8e-05,-6.4,0.001788,0.4,0.003759,9.5,0.004611,-1.2,0.001756,5.9,0.005718,18.9,0.013066
28,-38.4,7.2e-05,-6.6,0.001685,1.3,0.004021,9.0,0.004305,-1.0,0.001775,5.6,0.005535,18.9,0.013066
