Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Sensible Heat Loss Energy [J](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Total Heat Loss Energy [J](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Current Density Volume Flow Rate [m3/s](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Air Change Rate [ach](Hourly),OFFICESHOEBOX_BDC533DE:Zone Air Temperature [C](Hourly),NODE 3:System Node Specific Heat [J/kg-K](Hourly),NODE 2:System Node Specific Heat [J/kg-K](Hourly),NODE 1:System Node Specific Heat [J/kg-K](Hourly),MODEL OUTDOOR AIR NODE:System Node Specific Heat [J/kg-K](Hourly),OFFICESHOEBOX_BDC533DE IDEAL LOADS AIR SYSTEM OUTDOOR AIR INLET NODE:System Node Specific Heat [J/kg-K](Hourly) 
 01/01  01:00:00,-7.825,99291.66666666667,1845420.282012988,2023542.6689448769,0.018166666130741017,0.018440433098317013,0.4359999871377844,15.6,1009.3603381525917,1009.3603381525917,1009.2587222411263,1007.5887796510409,1007.5887796510409 
 01/01  02:00:00,-11.908333333333331,99558.33333333333,2202781.79174348,2394832.504445055,0.018449866495379223,0.018790526987381012,0.4427967958891013,15.6,1008.5992168294039,1008.5992168294039,1008.4748425210558,1006.7008500986567,1006.7008500986567 
 01/01  03:00:00,-11.35,99541.66666666667,2153147.0749360453,2272599.1620673616,0.018399915163239907,0.018745763608179897,0.44159796391775785,15.599999999999996,1007.9802673652597,1007.9802673652597,1007.9031166453087,1006.7972019377115,1006.7972019377115 
 01/01  04:00:00,-11.1,99500.0,2130244.940975038,2206437.755860404,0.018376018137196908,0.01871930080213759,0.4410244352927257,15.6,1007.5974876013682,1007.5974876013682,1007.5487416727104,1006.8422375249667,1006.8422375249667 
 01/01  05:00:00,-10.808333333333332,99500.0,2104653.2330141715,2150705.757449177,0.018351174487915154,0.018697636596175623,0.4404281877099638,15.6,1007.3527926923183,1007.3527926923183,1007.3228757601659,1006.8953972726375,1006.8953972726375 
 01/01  06:00:00,-10.600000000000001,99500.0,2086396.670005603,2114134.6997996313,0.018333920123707655,0.018682173429449857,0.44001408296898364,15.6,1007.2092816008206,1007.2092816008206,1007.1916046858718,1006.9338903775507,1006.9338903775507 
 01/01  07:00:00,-10.600000000000001,99500.0,2086414.827508327,2100441.6778311073,0.01833190423507057,0.018681092017594155,0.43996570164169374,15.6,1007.1352499193549,1007.1352499193549,1007.1312744846701,1007.0009443902736,1007.0009443902736 
 01/01  08:00:00,-10.25,99500.0,2055843.4881472483,2057893.1921137702,0.0183057484134193,0.01865432623876274,0.4393379619220632,15.6,1007.134108330531,1007.134108330531,1007.1382195412947,1007.1191654362274,1007.1191654362274 
 01/01  09:00:00,-9.358333333333334,99500.0,1978262.1172132806,1976451.363296523,0.0182433228931671,0.018590092844101676,0.4378397494360104,15.6,1007.1696519555397,1007.1696519555397,1007.1768151109068,1007.1937199923728,1007.1937199923728 
 01/01  10:00:00,-7.616666666666668,99500.0,1828252.2490911065,1825505.9860834011,0.01812359860886956,0.01846737863988474,0.43496636661286936,15.600000000000001,1007.2137985377644,1007.2137985377644,1007.2216384355985,1007.2474529984428,1007.2474529984428 
 01/01  11:00:00,-5.708333333333333,99441.66666666667,1665064.2043297589,1637738.9458690383,0.01799061681923073,0.018319808636791547,0.4317748036615375,15.599999999999996,1007.2835230322468,1007.2835230322468,1007.3057113667414,1007.5648575006793,1007.5648575006793 
