Time,OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,7.534184E+02,2.842469E+02,3.027582E-02,2.193106E-02
00:20:00,7.806986E+02,2.898405E+02,3.137165E-02,2.236279E-02
00:30:00,8.050292E+02,2.945977E+02,3.234900E-02,2.272996E-02
00:40:00,8.268934E+02,2.986141E+02,3.322726E-02,2.303996E-02
00:50:00,8.465142E+02,3.019933E+02,3.401540E-02,2.330078E-02
01:00:00,8.640802E+02,3.048192E+02,3.472099E-02,2.351889E-02
01:10:00,8.798346E+02,3.081953E+02,3.535379E-02,2.377944E-02
01:20:00,8.942905E+02,3.112534E+02,3.593444E-02,2.401545E-02
01:30:00,9.077036E+02,3.140535E+02,3.647322E-02,2.423154E-02
01:40:00,9.207007E+02,3.166450E+02,3.699533E-02,2.443153E-02
01:50:00,9.335224E+02,3.190734E+02,3.751046E-02,2.461894E-02
02:00:00,9.464441E+02,3.213779E+02,3.802965E-02,2.479677E-02
02:10:00,9.596158E+02,3.235349E+02,3.855893E-02,2.496323E-02
02:20:00,9.728124E+02,3.255647E+02,3.908923E-02,2.511986E-02
02:30:00,9.860487E+02,3.274890E+02,3.962112E-02,2.526836E-02
02:40:00,9.989391E+02,3.293272E+02,4.013912E-02,2.541020E-02
02:50:00,1.011507E+03,3.310957E+02,4.064412E-02,2.554667E-02
03:00:00,1.023712E+03,3.328089E+02,4.113454E-02,2.567887E-02
03:10:00,1.035544E+03,3.344012E+02,4.160998E-02,2.580174E-02
03:20:00,1.046995E+03,3.358989E+02,4.207007E-02,2.591731E-02
03:30:00,1.058058E+03,3.373035E+02,4.251459E-02,2.602568E-02
03:40:00,1.068728E+03,3.386130E+02,4.294331E-02,2.612673E-02
03:50:00,1.078996E+03,3.398466E+02,4.335589E-02,2.622192E-02
04:00:00,1.088846E+03,3.409951E+02,4.375166E-02,2.631054E-02
04:10:00,1.098238E+03,3.421456E+02,4.412901E-02,2.639931E-02
04:20:00,1.107031E+03,3.432873E+02,4.448229E-02,2.648740E-02
04:30:00,1.115413E+03,3.444309E+02,4.481903E-02,2.657564E-02
04:40:00,1.123424E+03,3.461471E+02,4.514087E-02,2.670806E-02
04:50:00,1.131141E+03,3.491485E+02,4.545093E-02,2.693965E-02
05:00:00,1.138634E+03,3.537707E+02,4.575198E-02,2.729632E-02
05:10:00,1.353721E+03,4.546998E+02,5.499868E-02,3.531828E-02
05:20:00,1.351521E+03,4.623892E+02,5.557780E-02,3.634369E-02
05:30:00,1.501426E+03,5.432383E+02,6.281847E-02,4.349691E-02
05:40:00,1.606261E+03,6.057657E+02,6.808894E-02,4.912180E-02
05:50:00,1.706349E+03,6.666945E+02,7.315670E-02,5.462207E-02
06:00:00,1.802180E+03,7.257413E+02,7.804274E-02,5.997626E-02
06:10:00,1.828276E+03,7.856932E+02,8.085200E-02,6.630066E-02
06:20:00,1.845225E+03,8.722417E+02,8.246378E-02,7.435806E-02
06:30:00,1.849914E+03,9.291017E+02,8.414501E-02,8.016396E-02
06:40:00,1.851400E+03,9.916974E+02,8.548490E-02,8.638670E-02
06:50:00,1.848659E+03,1.052498E+03,8.660671E-02,9.244874E-02
07:00:00,1.842445E+03,1.112742E+03,8.754883E-02,9.846059E-02
07:10:00,1.858094E+03,1.187063E+03,9.016357E-02,1.068082E-01
07:20:00,1.946282E+03,1.231096E+03,9.543310E-02,1.124757E-01
07:30:00,1.976946E+03,1.290498E+03,9.823401E-02,1.200387E-01
07:40:00,2.022917E+03,1.345877E+03,1.016588E-01,1.271024E-01
07:50:00,2.067796E+03,1.400918E+03,1.049994E-01,1.341157E-01
08:00:00,2.112188E+03,1.456074E+03,1.082916E-01,1.411344E-01
08:10:00,1.989519E+03,1.400075E+03,1.026791E-01,1.371993E-01
08:20:00,2.014425E+03,1.441862E+03,1.039639E-01,1.412959E-01
08:30:00,1.951153E+03,1.426279E+03,1.006986E-01,1.397687E-01
08:40:00,1.915525E+03,1.428745E+03,9.886039E-02,1.400093E-01
08:50:00,1.885052E+03,1.436115E+03,9.728802E-02,1.407309E-01
09:00:00,1.858247E+03,1.447069E+03,9.590482E-02,1.418041E-01
09:10:00,1.834405E+03,1.460934E+03,9.467443E-02,1.431626E-01
