Time,OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICESHOEBOX_BDC533DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.342721E+02,2.917182E+02,1.343437E-02,2.250670E-02
00:20:00,3.573932E+02,2.984792E+02,1.436335E-02,2.302842E-02
00:30:00,3.875941E+02,3.043682E+02,1.557699E-02,2.348284E-02
00:40:00,4.117456E+02,3.094873E+02,1.654750E-02,2.387785E-02
00:50:00,4.333603E+02,3.139382E+02,1.741605E-02,2.422129E-02
01:00:00,4.527458E+02,3.178049E+02,1.819501E-02,2.451966E-02
01:10:00,4.701005E+02,3.221634E+02,1.889235E-02,2.485596E-02
01:20:00,4.856930E+02,3.261477E+02,1.951887E-02,2.516340E-02
01:30:00,5.000012E+02,3.298156E+02,2.009378E-02,2.544641E-02
01:40:00,5.133915E+02,3.332175E+02,2.063181E-02,2.570889E-02
01:50:00,5.263655E+02,3.363992E+02,2.115313E-02,2.595439E-02
02:00:00,5.392088E+02,3.393998E+02,2.166920E-02,2.618591E-02
02:10:00,5.521975E+02,3.422238E+02,2.219114E-02,2.640380E-02
02:20:00,5.653958E+02,3.448913E+02,2.272150E-02,2.660962E-02
02:30:00,5.786366E+02,3.474244E+02,2.325358E-02,2.680506E-02
02:40:00,5.918209E+02,3.498425E+02,2.378339E-02,2.699163E-02
02:50:00,6.046861E+02,3.521622E+02,2.430038E-02,2.717061E-02
03:00:00,6.172116E+02,3.543981E+02,2.480371E-02,2.734312E-02
03:10:00,6.293728E+02,3.565123E+02,2.529240E-02,2.750624E-02
03:20:00,6.411577E+02,3.585309E+02,2.576597E-02,2.766199E-02
03:30:00,6.525584E+02,3.604557E+02,2.622411E-02,2.781049E-02
03:40:00,6.635697E+02,3.622848E+02,2.666659E-02,2.795162E-02
03:50:00,6.741863E+02,3.640374E+02,2.709322E-02,2.808683E-02
04:00:00,6.843994E+02,3.657044E+02,2.750363E-02,2.821545E-02
04:10:00,6.941917E+02,3.673451E+02,2.789713E-02,2.834204E-02
04:20:00,7.035052E+02,3.689491E+02,2.827139E-02,2.846579E-02
04:30:00,7.122332E+02,3.705270E+02,2.862212E-02,2.858753E-02
04:40:00,7.205495E+02,3.734350E+02,2.895630E-02,2.881189E-02
04:50:00,7.285069E+02,3.781526E+02,2.927607E-02,2.917588E-02
05:00:00,7.361765E+02,3.852592E+02,2.958427E-02,2.972420E-02
05:10:00,9.475215E+02,4.875836E+02,3.848784E-02,3.787867E-02
05:20:00,9.286128E+02,4.967928E+02,3.809430E-02,3.906073E-02
05:30:00,1.079604E+03,5.769001E+02,4.514230E-02,4.618118E-02
05:40:00,1.178339E+03,6.382663E+02,4.990610E-02,5.174319E-02
05:50:00,1.273735E+03,6.969266E+02,5.452858E-02,5.709206E-02
06:00:00,1.364909E+03,7.525387E+02,5.897078E-02,6.220287E-02
06:10:00,1.441461E+03,8.078538E+02,6.384724E-02,6.815476E-02
06:20:00,1.520973E+03,8.891802E+02,6.810714E-02,7.577826E-02
06:30:00,1.571949E+03,9.428530E+02,7.172924E-02,8.131943E-02
06:40:00,1.626337E+03,1.001762E+03,7.529699E-02,8.723561E-02
06:50:00,1.675326E+03,1.059851E+03,7.859633E-02,9.307563E-02
07:00:00,1.720841E+03,1.117304E+03,8.171600E-02,9.885688E-02
07:10:00,1.735732E+03,1.190512E+03,8.422761E-02,1.071081E-01
07:20:00,1.824240E+03,1.233728E+03,8.943880E-02,1.127026E-01
07:30:00,1.853914E+03,1.292612E+03,9.211857E-02,1.202208E-01
07:40:00,1.899451E+03,1.347978E+03,9.544890E-02,1.272884E-01
07:50:00,1.943730E+03,1.402748E+03,9.868746E-02,1.342843E-01
08:00:00,1.987515E+03,1.458205E+03,1.018775E-01,1.413379E-01
08:10:00,1.865470E+03,1.403206E+03,9.628063E-02,1.375016E-01
08:20:00,1.890638E+03,1.446225E+03,9.757939E-02,1.417187E-01
08:30:00,1.827565E+03,1.431847E+03,9.432426E-02,1.403098E-01
08:40:00,1.792158E+03,1.435169E+03,9.249724E-02,1.406346E-01
08:50:00,1.761865E+03,1.443234E+03,9.093401E-02,1.414245E-01
09:00:00,1.735231E+03,1.454739E+03,8.955953E-02,1.425518E-01
09:10:00,1.711548E+03,1.469034E+03,8.833732E-02,1.439526E-01
09:20:00,1.690272E+03,1.485646E+03,8.723928E-02,1.455804E-01
09:30:00,1.671024E+03,1.504402E+03,8.624584E-02,1.474184E-01
09:40:00,1.653467E+03,1.524755E+03,8.533974E-02,1.494128E-01
09:50:00,1.637337E+03,1.546311E+03,8.450724E-02,1.515251E-01
10:00:00,1.622417E+03,1.568719E+03,8.373717E-02,1.537209E-01
10:10:00,1.608530E+03,1.591773E+03,8.302046E-02,1.559801E-01
10:20:00,1.595513E+03,1.615250E+03,8.234859E-02,1.582806E-01
10:30:00,1.583252E+03,1.638690E+03,8.171578E-02,1.605775E-01
