	field	enumeration	enumeration_description
0	in.sqft	317	finished foor area of the housing unit is 317 ft2
1	in.sqft	328	finished foor area of the housing unit is 328 ft2
2	in.sqft	333	finished foor area of the housing unit is 333 ft2
3	in.sqft	617	finished foor area of the housing unit is 617 ft2
4	in.sqft	633	finished foor area of the housing unit is 633 ft2
5	in.sqft	853	finished foor area of the housing unit is 853 ft2
6	in.sqft	866	finished foor area of the housing unit is 866 ft2
7	in.sqft	885	finished foor area of the housing unit is 885 ft2
8	in.sqft	1138	finished foor area of the housing unit is 1138 ft2
9	in.sqft	1202	finished foor area of the housing unit is 1202 ft2
10	in.sqft	1220	finished foor area of the housing unit is 1220 ft2
11	in.sqft	1623	finished foor area of the housing unit is 1623 ft2
12	in.sqft	1675	finished foor area of the housing unit is 1675 ft2
13	in.sqft	1690	finished foor area of the housing unit is 1690 ft2
14	in.sqft	2115	finished foor area of the housing unit is 2115 ft2
15	in.sqft	2152	finished foor area of the housing unit is 2152 ft2
16	in.sqft	2176	finished foor area of the housing unit is 2176 ft2
17	in.sqft	2590	finished foor area of the housing unit is 2590 ft2
18	in.sqft	2631	finished foor area of the housing unit is 2631 ft2
19	in.sqft	2663	finished foor area of the housing unit is 2663 ft2
20	in.sqft	3138	finished foor area of the housing unit is 3138 ft2
21	in.sqft	3241	finished foor area of the housing unit is 3241 ft2
22	in.sqft	3301	finished foor area of the housing unit is 3301 ft2
23	in.sqft	8194	finished foor area of the housing unit is 8194 ft2
24	in.sqft	12291	finished foor area of the housing unit is 12291 ft2
25	in.sqft	13414	finished foor area of the housing unit is 13414 ft2
26	in.ahs_region	CBSA Atlanta-Sandy Springs-Roswell, GA	American Housing Survey region Atlanta-Sandy Springs-Roswell, GA
27	in.ahs_region	CBSA Boston-Cambridge-Newton, MA-NH	American Housing Survey region Boston-Cambridge-Newton, MA-NH
28	in.ahs_region	CBSA Chicago-Naperville-Elgin, IL-IN-WI	American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI
29	in.ahs_region	CBSA Dallas-Fort Worth-Arlington, TX	American Housing Survey region Dallas-Fort Worth-Arlington, TX
30	in.ahs_region	CBSA Detroit-Warren-Dearborn, MI	American Housing Survey region Detroit-Warren-Dearborn, MI
31	in.ahs_region	CBSA Houston-The Woodlands-Sugar Land, TX	American Housing Survey region Houston-The Woodlands-Sugar Land, TX
32	in.ahs_region	CBSA Los Angeles-Long Beach-Anaheim, CA	American Housing Survey region Los Angeles-Long Beach-Anaheim, CA
33	in.ahs_region	CBSA Miami-Fort Lauderdale-West Palm Beach, FL	American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL
34	in.ahs_region	CBSA New York-Newark-Jersey City, NY-NJ-PA	American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA
35	in.ahs_region	CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
36	in.ahs_region	CBSA Phoenix-Mesa-Scottsdale, AZ	American Housing Survey region Phoenix-Mesa-Scottsdale, AZ
37	in.ahs_region	CBSA Riverside-San Bernardino-Ontario, CA	American Housing Survey region Riverside-San Bernardino-Ontario, CA
38	in.ahs_region	CBSA San Francisco-Oakland-Hayward, CA	American Housing Survey region San Francisco-Oakland-Hayward, CA
39	in.ahs_region	CBSA Seattle-Tacoma-Bellevue, WA	American Housing Survey region Seattle-Tacoma-Bellevue, WA
40	in.ahs_region	CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV	American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV
41	in.ahs_region	Non-CBSA East North Central	American Housing Survey region East North Central
42	in.ahs_region	Non-CBSA East South Central	American Housing Survey region East South Central
43	in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region Middle Atlantic
44	in.ahs_region	Non-CBSA Mountain	American Housing Survey region Mountain
45	in.ahs_region	Non-CBSA New England	American Housing Survey region New England
46	in.ahs_region	Non-CBSA Pacific	American Housing Survey region Pacific
47	in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region South Atlantic
48	in.ahs_region	Non-CBSA West North Central	American Housing Survey region West North Central
49	in.ahs_region	Non-CBSA West South Central	American Housing Survey region West South Central
50	in.applicable	True	Apply simulation output reporting measure
51	in.ashrae_iecc_climate_zone_2004	1A	IECC Climate Zone 1A
52	in.ashrae_iecc_climate_zone_2004	2A	IECC Climate Zone 2A
53	in.ashrae_iecc_climate_zone_2004	2B	IECC Climate Zone 2B
54	in.ashrae_iecc_climate_zone_2004	3A	IECC Climate Zone 3A
55	in.ashrae_iecc_climate_zone_2004	3B	IECC Climate Zone 3B
56	in.ashrae_iecc_climate_zone_2004	3C	IECC Climate Zone 3C
57	in.ashrae_iecc_climate_zone_2004	4A	IECC Climate Zone 4A
58	in.ashrae_iecc_climate_zone_2004	4B	IECC Climate Zone 4B
59	in.ashrae_iecc_climate_zone_2004	4C	IECC Climate Zone 4C
60	in.ashrae_iecc_climate_zone_2004	5A	IECC Climate Zone 5A
61	in.ashrae_iecc_climate_zone_2004	5B	IECC Climate Zone 5B
62	in.ashrae_iecc_climate_zone_2004	6A	IECC Climate Zone 6A
63	in.ashrae_iecc_climate_zone_2004	6B	IECC Climate Zone 6B
64	in.ashrae_iecc_climate_zone_2004	7A	IECC Climate Zone 7A
65	in.ashrae_iecc_climate_zone_2004	7B	IECC Climate Zone 7B
66	in.bathroom_spot_vent_hour	Hour0	Bathroom spot ventilation occurs at hour 0, and lasts for 1 hour
67	in.bathroom_spot_vent_hour	Hour1	Bathroom spot ventilation occurs at hour 1, and lasts for 1 hour
68	in.bathroom_spot_vent_hour	Hour10	Bathroom spot ventilation occurs at hour 10, and lasts for 1 hour
69	in.bathroom_spot_vent_hour	Hour11	Bathroom spot ventilation occurs at hour 11, and lasts for 1 hour
70	in.bathroom_spot_vent_hour	Hour12	Bathroom spot ventilation occurs at hour 12, and lasts for 1 hour
71	in.bathroom_spot_vent_hour	Hour13	Bathroom spot ventilation occurs at hour 13, and lasts for 1 hour
72	in.bathroom_spot_vent_hour	Hour14	Bathroom spot ventilation occurs at hour 14, and lasts for 1 hour
73	in.bathroom_spot_vent_hour	Hour15	Bathroom spot ventilation occurs at hour 15, and lasts for 1 hour
74	in.bathroom_spot_vent_hour	Hour16	Bathroom spot ventilation occurs at hour 16, and lasts for 1 hour
75	in.bathroom_spot_vent_hour	Hour17	Bathroom spot ventilation occurs at hour 17, and lasts for 1 hour
76	in.bathroom_spot_vent_hour	Hour18	Bathroom spot ventilation occurs at hour 18, and lasts for 1 hour
77	in.bathroom_spot_vent_hour	Hour19	Bathroom spot ventilation occurs at hour 19, and lasts for 1 hour
78	in.bathroom_spot_vent_hour	Hour2	Bathroom spot ventilation occurs at hour 2, and lasts for 1 hour
79	in.bathroom_spot_vent_hour	Hour20	Bathroom spot ventilation occurs at hour 20, and lasts for 1 hour
80	in.bathroom_spot_vent_hour	Hour21	Bathroom spot ventilation occurs at hour 21, and lasts for 1 hour
81	in.bathroom_spot_vent_hour	Hour22	Bathroom spot ventilation occurs at hour 22, and lasts for 1 hour
82	in.bathroom_spot_vent_hour	Hour23	Bathroom spot ventilation occurs at hour 23, and lasts for 1 hour
83	in.bathroom_spot_vent_hour	Hour3	Bathroom spot ventilation occurs at hour 3, and lasts for 1 hour
84	in.bathroom_spot_vent_hour	Hour4	Bathroom spot ventilation occurs at hour 4, and lasts for 1 hour
85	in.bathroom_spot_vent_hour	Hour5	Bathroom spot ventilation occurs at hour 5, and lasts for 1 hour
86	in.bathroom_spot_vent_hour	Hour6	Bathroom spot ventilation occurs at hour 6, and lasts for 1 hour
87	in.bathroom_spot_vent_hour	Hour7	Bathroom spot ventilation occurs at hour 7, and lasts for 1 hour
88	in.bathroom_spot_vent_hour	Hour8	Bathroom spot ventilation occurs at hour 8, and lasts for 1 hour
89	in.bathroom_spot_vent_hour	Hour9	Bathroom spot ventilation occurs at hour 9, and lasts for 1 hour
90	in.bedrooms	True	1 bedroom in housing unit
91	in.bedrooms	2	2 bedrooms in housing unit
92	in.bedrooms	3	3 bedrooms in housing unit
93	in.bedrooms	4	4 bedrooms in housing unit
94	in.bedrooms	5	5 bedrooms in housing unit
95	in.building_america_climate_zone	Cold	Building America climate zone Cold
96	in.building_america_climate_zone	Hot-Dry	Building America climate zone Hot-Dry
97	in.building_america_climate_zone	Hot-Humid	Building America climate zone Hot-Humid
98	in.building_america_climate_zone	Marine	Building America climate zone Marine
99	in.building_america_climate_zone	Mixed-Dry	Building America climate zone Mixed-Dry
100	in.building_america_climate_zone	Mixed-Humid	Building America climate zone Mixed-Humid
101	in.building_america_climate_zone	Very Cold	Building America climate zone Very Cold
102	in.cec_climate_zone	True	California Energy Code climate zone 1
103	in.cec_climate_zone	10	California Energy Code climate zone 10
104	in.cec_climate_zone	11	California Energy Code climate zone 11
105	in.cec_climate_zone	12	California Energy Code climate zone 12
106	in.cec_climate_zone	13	California Energy Code climate zone 13
107	in.cec_climate_zone	14	California Energy Code climate zone 14
108	in.cec_climate_zone	15	California Energy Code climate zone 15
109	in.cec_climate_zone	16	California Energy Code climate zone 16
110	in.cec_climate_zone	2	California Energy Code climate zone 2
111	in.cec_climate_zone	3	California Energy Code climate zone 3
112	in.cec_climate_zone	4	California Energy Code climate zone 4
113	in.cec_climate_zone	5	California Energy Code climate zone 5
114	in.cec_climate_zone	6	California Energy Code climate zone 6
115	in.cec_climate_zone	7	California Energy Code climate zone 7
116	in.cec_climate_zone	8	California Energy Code climate zone 8
117	in.cec_climate_zone	9	California Energy Code climate zone 9
118	in.cec_climate_zone	None	No California Energy Code climate zone
119	in.ceiling_fan	None	No ceiling fan
120	in.ceiling_fan	Standard Efficiency	42.6 W power consumption per fan at medium speed
121	in.ceiling_fan	Standard Efficiency, No usage	Standard efficiency fan applied but not used
122	in.census_division	East North Central	East North Central 2010 U.S. Census Division
123	in.census_division	East South Central	East South Central 2010 U.S. Census Division
124	in.census_division	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
125	in.census_division	Mountain	Mountain 2010 U.S. Census Division
126	in.census_division	New England	New England 2010 U.S. Census Division
127	in.census_division	Pacific	Pacific 2010 U.S. Census Division
128	in.census_division	South Atlantic	South Atlantic 2010 U.S. Census Division
129	in.census_division	West North Central	West North Central 2010 U.S. Census Division
130	in.census_division	West South Central	West South Central 2010 U.S. Census Division
131	in.census_division_recs	East North Central	East North Central Census Division as used in RECS 2015
132	in.census_division_recs	East South Central	East South Central Census Division as used in RECS 2015
133	in.census_division_recs	Middle Atlantic	Middle Atlantic Census Division as used in RECS 2015
134	in.census_division_recs	Mountain North	Mountain North Census Division as used in RECS 2015
135	in.census_division_recs	Mountain South	Mountain South Census Division as used in RECS 2015
136	in.census_division_recs	New England	New England Census Division as used in RECS 2015
137	in.census_division_recs	Pacific	Pacific Census Division as used in RECS 2015
138	in.census_division_recs	South Atlantic	South Atlantic Census Division as used in RECS 2015
139	in.census_division_recs	West North Central	West North Central Census Division as used in RECS 2015
140	in.census_division_recs	West South Central	West South Central Census Division as used in RECS 2015
141	in.census_region	Midwest	Midwest 2010 U.S. Census Region
142	in.census_region	Northeast	Northeast 2010 U.S. Census Region
143	in.census_region	South	South 2010 U.S. Census Region
144	in.census_region	West	West 2010 U.S. Census Region
145	in.clothes_dryer	Electric, 100% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 100% the national average
146	in.clothes_dryer	Electric, 120% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 120% the national average
147	in.clothes_dryer	Electric, 80% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 80% the national average
148	in.clothes_dryer	Gas, 100% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 100% the national average
149	in.clothes_dryer	Gas, 120% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 120% the national average
150	in.clothes_dryer	Gas, 80% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 80% the national average
151	in.clothes_dryer	None	No clothes dryer
152	in.clothes_dryer	Propane, 100% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 100% the national average
153	in.clothes_dryer	Propane, 120% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 120% the national average
154	in.clothes_dryer	Propane, 80% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 80% the national average
155	in.clothes_washer	EnergyStar, 100% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 100% the national average
156	in.clothes_washer	EnergyStar, 120% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 120% the national average
157	in.clothes_washer	EnergyStar, 80% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 80% the national average
158	in.clothes_washer	None	No clothes washer
159	in.clothes_washer	Standard, 100% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 100% the national average
160	in.clothes_washer	Standard, 120% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 120% the national average
161	in.clothes_washer	Standard, 80% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 80% the national average
162	in.clothes_washer_presence	None	Unit does not have a clothes washer
163	in.clothes_washer_presence	Yes	Unit has a clothes washer
164	in.cooking_range	Electric, 100% Usage	Electric cooking range with usage at 100% the national average
165	in.cooking_range	Electric, 120% Usage	Electric cooking range with usage at 120% the national average
166	in.cooking_range	Electric, 80% Usage	Electric cooking range with usage at 80% the national average
167	in.cooking_range	Gas, 100% Usage	Gas cooking range with usage at 100% the national average
168	in.cooking_range	Gas, 120% Usage	Gas cooking range with usage at 120% the national average
169	in.cooking_range	Gas, 80% Usage	Gas cooking range with usage at 80% the national average
170	in.cooking_range	None	No cooking range
171	in.cooking_range	Propane, 100% Usage	Propane cooking range with usage at 100% the national average
172	in.cooking_range	Propane, 120% Usage	Propane cooking range with usage at 120% the national average
173	in.cooking_range	Propane, 80% Usage	Propane cooking range with usage at 80% the national average
174	in.cooling_setpoint	60F	Base cooling setpoint is 60F before offset is applied
175	in.cooling_setpoint	62F	Base cooling setpoint is 62F before offset is applied
176	in.cooling_setpoint	65F	Base cooling setpoint is 65F before offset is applied
177	in.cooling_setpoint	67F	Base cooling setpoint is 67F before offset is applied
178	in.cooling_setpoint	68F	Base cooling setpoint is 68F before offset is applied
179	in.cooling_setpoint	70F	Base cooling setpoint is 70F before offset is applied
180	in.cooling_setpoint	72F	Base cooling setpoint is 72F before offset is applied
181	in.cooling_setpoint	75F	Base cooling setpoint is 75F before offset is applied
182	in.cooling_setpoint	76F	Base cooling setpoint is 76F before offset is applied
183	in.cooling_setpoint	78F	Base cooling setpoint is 78F before offset is applied
184	in.cooling_setpoint	80F	Base cooling setpoint is 80F before offset is applied
185	in.cooling_setpoint_has_offset	No	Cooling setpoint offset is not applied
186	in.cooling_setpoint_has_offset	Yes	Cooling setpoint offset is applied
187	in.cooling_setpoint_offset_magnitude	0F	No cooling setpoint offset applied
188	in.cooling_setpoint_offset_magnitude	2F	2F cooling setpoint offset applied
189	in.cooling_setpoint_offset_magnitude	5F	5F cooling setpoint offset applied
190	in.cooling_setpoint_offset_magnitude	9F	9F cooling setpoint offset applied
191	in.cooling_setpoint_offset_period	Day Setup	Cooling setpoint schedule is increased during the daytime
192	in.cooling_setpoint_offset_period	Day Setup +1h	Cooling setpoint schedule is increased during the daytime and shifted +1 hour from the Day Setup schedule
193	in.cooling_setpoint_offset_period	Day Setup +2h	Cooling setpoint schedule is increased during the daytime and shifted +2 hours from the Day Setup schedule
194	in.cooling_setpoint_offset_period	Day Setup +3h	Cooling setpoint schedule is increased during the daytime and shifted +3 hours from the Day Setup schedule
195	in.cooling_setpoint_offset_period	Day Setup +4h	Cooling setpoint schedule is increased during the daytime and shifted +4 hours from the Day Setup schedule
196	in.cooling_setpoint_offset_period	Day Setup +5h	Cooling setpoint schedule is increased during the daytime and shifted +5 hours from the Day Setup schedule
197	in.cooling_setpoint_offset_period	Day Setup -1h	Cooling setpoint schedule is increased during the daytime and shifted -1 hour from the Day Setup schedule
198	in.cooling_setpoint_offset_period	Day Setup -2h	Cooling setpoint schedule is increased during the daytime and shifted -2 hours from the Day Setup schedule
199	in.cooling_setpoint_offset_period	Day Setup -3h	Cooling setpoint schedule is increased during the daytime and shifted -3 hours from the Day Setup schedule
200	in.cooling_setpoint_offset_period	Day Setup -4h	Cooling setpoint schedule is increased during the daytime and shifted -4 hours from the Day Setup schedule
201	in.cooling_setpoint_offset_period	Day Setup -5h	Cooling setpoint schedule is increased during the daytime and shifted -5 hours from the Day Setup schedule
202	in.cooling_setpoint_offset_period	Day Setup and Night Setback	Cooling setpoint schedule is increased during the day and decreased at night
203	in.cooling_setpoint_offset_period	Day Setup and Night Setback +1h	Cooling setpoint schedule is increased during the day and decreased at night, shifted +1 hour from the Day Setup and Night Setback schedule
204	in.cooling_setpoint_offset_period	Day Setup and Night Setback +2h	Cooling setpoint schedule is increased during the day and decreased at night, shifted +2 hours from the Day Setup and Night Setback schedule
205	in.cooling_setpoint_offset_period	Day Setup and Night Setback +3h	Cooling setpoint schedule is increased during the day and decreased at night, shifted +3 hours from the Day Setup and Night Setback schedule
206	in.cooling_setpoint_offset_period	Day Setup and Night Setback +4h	Cooling setpoint schedule is increased during the day and decreased at night, shifted +4 hours from the Day Setup and Night Setback schedule
207	in.cooling_setpoint_offset_period	Day Setup and Night Setback +5h	Cooling setpoint schedule is increased during the day and decreased at night, shifted +5 hours from the Day Setup and Night Setback schedule
208	in.cooling_setpoint_offset_period	Day Setup and Night Setback -1h	Cooling setpoint schedule is increased during the day and decreased at night, shifted -1 hour from the Day Setup and Night Setback schedule
209	in.cooling_setpoint_offset_period	Day Setup and Night Setback -2h	Cooling setpoint schedule is increased during the day and decreased at night, shifted -2 hours from the Day Setup and Night Setback schedule
210	in.cooling_setpoint_offset_period	Day Setup and Night Setback -3h	Cooling setpoint schedule is increased during the day and decreased at night, shifted -3 hours from the Day Setup and Night Setback schedule
211	in.cooling_setpoint_offset_period	Day Setup and Night Setback -4h	Cooling setpoint schedule is increased during the day and decreased at night, shifted -4 hours from the Day Setup and Night Setback schedule
212	in.cooling_setpoint_offset_period	Day Setup and Night Setback -5h	Cooling setpoint schedule is increased during the day and decreased at night, shifted -5 hours from the Day Setup and Night Setback schedule
213	in.cooling_setpoint_offset_period	Day and Night Setup	Cooling setpoint schedule is increased during the day and at night
214	in.cooling_setpoint_offset_period	Day and Night Setup +1h	Cooling setpoint schedule is increased during the day and at night, shifted +1 hour from the Day and Night Setup schedule
215	in.cooling_setpoint_offset_period	Day and Night Setup +2h	Cooling setpoint schedule is increased during the day and at night, shifted +2 hours from the Day and Night Setup schedule
216	in.cooling_setpoint_offset_period	Day and Night Setup +3h	Cooling setpoint schedule is increased during the day and at night, shifted +3 hours from the Day and Night Setup schedule
217	in.cooling_setpoint_offset_period	Day and Night Setup +4h	Cooling setpoint schedule is increased during the day and at night, shifted +4 hours from the Day and Night Setup schedule
218	in.cooling_setpoint_offset_period	Day and Night Setup +5h	Cooling setpoint schedule is increased during the day and at night, shifted +5 hours from the Day and Night Setup schedule
219	in.cooling_setpoint_offset_period	Day and Night Setup -1h	Cooling setpoint schedule is increased during the day and at night, shifted -1 hour from the Day and Night Setup schedule
220	in.cooling_setpoint_offset_period	Day and Night Setup -2h	Cooling setpoint schedule is increased during the day and at night, shifted -2 hours from the Day and Night Setup schedule
221	in.cooling_setpoint_offset_period	Day and Night Setup -3h	Cooling setpoint schedule is increased during the day and at night, shifted -3 hours from the Day and Night Setup schedule
222	in.cooling_setpoint_offset_period	Day and Night Setup -4h	Cooling setpoint schedule is increased during the day and at night, shifted -4 hours from the Day and Night Setup schedule
223	in.cooling_setpoint_offset_period	Day and Night Setup -5h	Cooling setpoint schedule is increased during the day and at night, shifted -5 hours from the Day and Night Setup schedule
224	in.cooling_setpoint_offset_period	Night Setback	Cooling setpoint schedule is decreased at night
225	in.cooling_setpoint_offset_period	Night Setback +1h	Cooling setpoint schedule is decreased at night, shifted +1 hour from the Night Setback schedule
226	in.cooling_setpoint_offset_period	Night Setback +2h	Cooling setpoint schedule is decreased at night, shifted +2 hours from the Night Setback schedule
227	in.cooling_setpoint_offset_period	Night Setback +3h	Cooling setpoint schedule is decreased at night, shifted +3 hours from the Night Setback schedule
228	in.cooling_setpoint_offset_period	Night Setback +4h	Cooling setpoint schedule is decreased at night, shifted +4 hours from the Night Setback schedule
229	in.cooling_setpoint_offset_period	Night Setback +5h	Cooling setpoint schedule is decreased at night, shifted +5 hours from the Night Setback schedule
230	in.cooling_setpoint_offset_period	Night Setback -1h	Cooling setpoint schedule is decreased at night, shifted -1 hour from the Night Setback schedule
231	in.cooling_setpoint_offset_period	Night Setback -2h	Cooling setpoint schedule is decreased at night, shifted -2 hours from the Night Setback schedule
232	in.cooling_setpoint_offset_period	Night Setback -3h	Cooling setpoint schedule is decreased at night, shifted -3 hours from the Night Setback schedule
233	in.cooling_setpoint_offset_period	Night Setback -4h	Cooling setpoint schedule is decreased at night, shifted -4 hours from the Night Setback schedule
234	in.cooling_setpoint_offset_period	Night Setback -5h	Cooling setpoint schedule is decreased at night, shifted -5 hours from the Night Setback schedule
235	in.cooling_setpoint_offset_period	Night Setup	Cooling setpoint schedule is increased at night
236	in.cooling_setpoint_offset_period	Night Setup +1h	Cooling setpoint schedule is increased at night, shifted +1 hour from the Night Setup schedule
237	in.cooling_setpoint_offset_period	Night Setup +2h	Cooling setpoint schedule is increased at night, shifted +2 hours from the Night Setup schedule
238	in.cooling_setpoint_offset_period	Night Setup +3h	Cooling setpoint schedule is increased at night, shifted +3 hours from the Night Setup schedule
239	in.cooling_setpoint_offset_period	Night Setup +4h	Cooling setpoint schedule is increased at night, shifted +4 hours from the Night Setup schedule
240	in.cooling_setpoint_offset_period	Night Setup +5h	Cooling setpoint schedule is increased at night, shifted +5 hours from the Night Setup schedule
241	in.cooling_setpoint_offset_period	Night Setup -1h	Cooling setpoint schedule is increased at night, shifted -1 hour from the Night Setup schedule
242	in.cooling_setpoint_offset_period	Night Setup -2h	Cooling setpoint schedule is increased at night, shifted -2 hours from the Night Setup schedule
243	in.cooling_setpoint_offset_period	Night Setup -3h	Cooling setpoint schedule is increased at night, shifted -3 hours from the Night Setup schedule
